datum,tag,dauer,wochentag
21/10/2017,1,52,Samstag
22/10/2017,2,60,Sonntag
23/10/2017,-,0,Montag
24/10/2017,-,0,Dienstag
25/10/2017,3,43,Mittwoch
26/10/2017,4,43,Donnerstag
27/10/2017,-,0,Freitag
28/10/2017,5,68,Samstag
29/10/2017,6,40,Sonntag
30/10/2017,7,28,Montag
31/10/2017,8,60,Dienstag
1/11/2017,9,45,Mittwoch
2/11/2017,10,55,Donnerstag
3/11/2017,11,70,Freitag
4/11/2017,12,60,Samstag
5/11/2017,13,125,Sonntag
6/11/2017,14,103,Montag
7/11/2017,15,80,Dienstag
8/11/2017,16,110,Mittwoch
9/11/2017,17,60,Donnerstag
10/11/2017,18,50,Freitag
11/11/2017,19,41,Samstag
12/11/2017,20,60,Sonntag
13/11/2017,21,46,Montag
14/11/2017,22,60,Dienstag
15/11/2017,23,44,Mittwoch
16/11/2017,24,89,Donnerstag
17/11/2017,25,40,Freitag
18/11/2017,26,85,Samstag
19/11/2017,27,100,Sonntag
20/11/2017,28,85,Montag
21/11/2017,29,86,Dienstag
22/11/2017,30,60,Mittwoch
23/11/2017,31,68,Donnerstag
24/11/2017,32,86,Freitag
25/11/2017,33,60,Samstag
26/11/2017,34,60,Sonntag
27/11/2017,35,42,Montag
28/11/2017,36,50,Dienstag
29/11/2017,37,52,Mittwoch
30/11/2017,38,57,Donnerstag
1/12/2017,39,48,Freitag
2/12/2017,40,49,Samstag
3/12/2017,41,78,Sonntag
4/12/2017,42,41,Montag
5/12/2017,43,60,Dienstag
6/12/2017,44,63,Mittwoch
7/12/2017,45,40,Donnerstag
8/12/2017,46,60,Freitag
9/12/2017,47,80,Samstag
10/12/2017,48,69,Sonntag
11/12/2017,49,44,Montag
12/12/2017,50,60,Dienstag
13/12/2017,51,45,Mittwoch
14/12/2017,52,50,Donnerstag
15/12/2017,53,60,Freitag
16/12/2017,54,60,Samstag
17/12/2017,55,60,Sonntag
18/12/2017,56,67,Montag
19/12/2017,57,62,Dienstag
20/12/2017,58,63,Mittwoch
21/12/2017,59,157,Donnerstag
22/12/2017,60,88,Freitag
23/12/2017,61,73,Samstag
24/12/2017,62,56,Sonntag
25/12/2017,63,60,Montag
26/12/2017,64,70,Dienstag
27/12/2017,65,42,Mittwoch
28/12/2017,66,72,Donnerstag
29/12/2017,67,60,Freitag
30/12/2017,68,60,Samstag
31/12/2017,69,95,Sonntag
1/1/2018,70,85,Montag
1/2/2018,71,85,Dienstag
1/3/2018,72,106,Mittwoch
1/4/2018,73,71,Donnerstag
1/5/2018,74,94,Freitag
1/6/2018,75,100,Samstag
1/7/2018,76,64,Sonntag
1/8/2018,77,89,Montag
1/9/2018,78,64,Dienstag
1/10/2018,79,75,Mittwoch
1/11/2018,80,58,Donnerstag
1/12/2018,81,67,Freitag
1/13/2018,82,63,Samstag
1/14/2018,83,66,Sonntag
1/15/2018,84,60,Montag
1/16/2018,85,45,Dienstag
1/17/2018,86,78,Mittwoch
1/18/2018,87,46,Donnerstag
1/19/2018,88,60,Freitag
1/20/2018,89,85,Samstag
1/21/2018,90,60,Sonntag
1/22/2018,91,50,Montag
1/23/2018,92,60,Dienstag
1/24/2018,93,45,Mittwoch
1/25/2018,94,45,Donnerstag
1/26/2018,95,45,Freitag
1/27/2018,96,45,Samstag
1/28/2018,97,45,Sonntag
1/29/2018,98,30,Montag
1/30/2018,99,55,Dienstag
1/31/2018,100,90,Mittwoch
2/1/2018,101,30,Donnerstag
2/2/2018,102,93,Freitag
2/3/2018,103,81,Samstag
2/4/2018,104,90,Sonntag
2/5/2018,105,108,Montag
2/6/2018,106,107,Dienstag
2/7/2018,107,54,Mittwoch
2/8/2018,108,68,Donnerstag
2/9/2018,109,80,Freitag
2/10/2018,110,105,Samstag
2/11/2018,111,91,Sonntag
2/12/2018,112,62,Montag
2/13/2018,113,80,Dienstag
2/14/2018,114,75,Mittwoch
2/15/2018,115,40,Donnerstag
2/16/2018,116,95,Freitag
2/17/2018,117,74,Samstag
2/18/2018,118,65,Sonntag
2/19/2018,119,60,Montag
2/20/2018,120,80,Dienstag
2/21/2018,121,81,Mittwoch
2/22/2018,122,40,Donnerstag
2/23/2018,123,50,Freitag
2/24/2018,124,60,Samstag
2/25/2018,125,94,Sonntag
2/26/2018,126,52,Montag
2/27/2018,127,66,Dienstag
2/28/2018,128,65,Mittwoch
3/1/2018,129,52,Donnerstag
3/2/2018,130,40,Freitag
3/3/2018,131,105,Samstag
3/4/2018,132,55,Sonntag
3/5/2018,133,61,Montag
3/6/2018,134,59,Dienstag
3/7/2018,135,40,Mittwoch
3/8/2018,136,60,Donnerstag
3/9/2018,137,60,Freitag
3/10/2018,138,81,Samstag
3/11/2018,139,60,Sonntag
3/12/2018,140,45,Montag
3/13/2018,141,75,Dienstag
3/14/2018,142,45,Mittwoch
3/15/2018,143,100,Donnerstag
3/16/2018,144,110,Freitag
3/17/2018,145,90,Samstag
3/18/2018,146,60,Sonntag
3/19/2018,147,90,Montag
3/20/2018,148,90,Dienstag
3/21/2018,149,70,Mittwoch
3/22/2018,150,60,Donnerstag
3/23/2018,151,85,Freitag
3/24/2018,152,63,Samstag
3/25/2018,153,77,Sonntag
3/26/2018,154,60,Montag
3/27/2018,155,85,Dienstag
3/28/2018,156,70,Mittwoch
3/29/2018,157,70,Donnerstag
3/30/2018,158,47,Freitag
3/31/2018,159,80,Samstag
4/1/2018,159,90,Sonntag
4/2/2018,160,60,Montag
4/3/2018,161,61,Dienstag
4/4/2018,162,60,Mittwoch
4/5/2018,163,40,Donnerstag
4/6/2018,164,63,Freitag
4/7/2018,165,65,Samstag
4/8/2018,166,60,Sonntag
4/9/2018,167,60,Montag
4/10/2018,168,60,Dienstag
4/11/2018,169,60,Mittwoch
4/12/2018,170,60,Donnerstag
4/13/2018,171,60,Freitag
4/14/2018,172,60,Samstag
4/15/2018,173,62,Sonntag
4/16/2018,174,60,Montag
4/17/2018,175,60,Dienstag
4/18/2018,176,60,Mittwoch
4/19/2018,177,47,Donnerstag
4/20/2018,178,80,Freitag
4/21/2018,179,60,Samstag
4/22/2018,180,60,Sonntag
4/23/2018,181,60,Montag
4/24/2018,182,60,Dienstag
4/25/2018,183,40,Freitag
4/26/2018,184,25,Freitag
4/27/2018,185,90,Freitag


